Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
21550,5,100,0
21615,5,100,0
21678,5,100,0
21751,5,100,0
21805,5,100,0
21867,5,100,0
21930,5,100,0
22014,5,100,0
22077,5,100,0
22137,5,100,0
22200,5,100,0
22264,5,100,0
22327,5,100,0
22389,5,100,0
22452,5,100,0
22515,5,100,0
22579,5,100,0
22644,5,100,0
22705,5,100,0
22769,5,100,0
22831,5,100,0
22895,5,100,0
22960,5,100,0
23022,5,100,0
23087,5,100,0
23149,5,100,0
23214,5,100,0
23280,5,100,0
23341,5,100,0
23404,5,100,0
23466,5,100,0
23528,5,100,0
23593,5,100,0
23658,5,100,0
23720,5,100,0
23781,5,100,0
23846,5,100,0
23910,5,100,0
23973,5,100,0
24034,5,100,0
24098,5,100,0
24162,5,100,0
24225,5,100,0
24292,5,100,0
24353,5,100,0
24416,5,100,0
24480,5,100,0
24544,5,100,0
24606,5,100,0
24671,5,100,0
24735,5,100,0
24798,5,100,0
24862,5,100,0
24925,5,100,0
24987,5,100,0
25050,5,100,0
25114,5,100,0
25178,5,100,0
25242,5,100,0
25304,5,100,0
25367,5,100,0
25431,5,100,0
25495,5,100,0
25562,5,100,0
25623,6,100,0
25685,6,100,0
25749,5,99,1
25812,6,99,1
25873,7,99,1
25936,7,99,1
25997,7,99,1
26061,8,99,1
26123,8,99,1
26184,8,99,1
26248,9,99,1
26312,9,99,1
26376,9,99,1
26439,9,99,1
26502,9,99,1
26565,9,99,1
26630,9,99,1
26739,9,99,1
26815,9,99,1
26869,9,99,1
26930,9,99,1
26995,9,99,1
27059,9,99,1
27122,9,99,1
27184,9,99,1
27298,9,99,1
27365,9,99,1
27424,9,99,1
27487,9,99,1
27550,9,99,1
27614,9,99,1
27677,9,99,1
27739,9,99,1
27815,9,99,1
27865,9,99,1
27930,9,99,1
27996,9,99,1
28061,9,99,1
28121,9,99,1
28184,9,99,1
28247,9,99,1
28311,9,99,1
28374,9,99,1
28438,9,99,1
28501,9,99,1
28564,9,99,1
28639,9,99,1
28695,9,99,1
28754,9,99,1
28818,9,99,1
28882,9,99,1
28945,9,99,1
29008,9,99,1
29071,9,99,1
29134,9,99,1
29198,9,99,1
29262,9,99,1
29326,9,99,1
29389,9,99,1
29451,9,99,1
29515,9,99,1
29579,9,99,1
29644,9,99,1
29706,9,99,1
29768,9,99,1
29832,9,99,1
29896,9,99,1
29960,9,99,1
30022,9,99,1
30084,9,99,1
30149,9,99,1
30213,9,99,1
30279,9,99,1
30339,9,99,1
30400,9,99,1
30462,9,99,1
30526,9,99,1
30589,9,99,1
30652,9,99,1
30716,8,99,1
30780,8,99,1
30847,9,99,1
30904,10,99,1
30967,10,98,2
31032,9,98,2
31096,10,98,2
31158,10,98,2
31222,9,97,3
31287,9,97,3
31349,9,97,3
31413,9,97,3
31477,9,97,3
31540,10,97,3
31602,10,97,3
31665,10,97,3
31731,10,97,3
31795,10,97,3
31855,10,97,3
31919,10,97,3
31982,10,97,3
32060,9,97,3
32130,9,97,3
32190,9,97,3
32252,9,97,3
32339,9,97,3
32445,9,97,3
32509,9,97,3
32575,9,97,3
32633,9,97,3
32705,9,97,3
32759,8,97,3
32822,8,97,3
32886,8,97,3
