Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
63,1,100,0
196,1,100,0
263,1,100,0
329,1,100,0
392,1,100,0
495,1,100,0
576,1,100,0
644,1,100,0
707,1,100,0
772,1,100,0
841,1,100,0
898,1,100,0
977,1,100,0
1041,1,100,0
1117,1,100,0
1222,1,100,0
1292,1,100,0
1347,1,100,0
1422,1,100,0
1549,1,100,0
1624,1,100,0
1680,1,100,0
1741,1,100,0
1813,1,100,0
1878,1,100,0
1941,1,100,0
2025,1,100,0
2129,1,100,0
2193,1,100,0
2270,1,100,0
2329,1,100,0
2394,1,100,0
2476,1,100,0
2557,1,100,0
2636,1,100,0
2733,1,100,0
2811,1,100,0
2902,1,100,0
3050,1,100,0
3166,1,100,0
3236,1,100,0
3301,1,100,0
3358,1,100,0
3425,1,100,0
3480,1,100,0
3545,1,100,0
3608,1,100,0
3688,1,100,0
3758,1,100,0
3812,1,100,0
3875,1,100,0
3938,1,100,0
4002,1,100,0
4065,1,100,0
4146,1,100,0
4214,1,100,0
4276,1,100,0
4342,1,100,0
4400,1,100,0
4465,1,100,0
4527,1,100,0
4591,1,100,0
4670,1,100,0
4731,1,100,0
4794,1,100,0
4858,1,100,0
4948,1,100,0
5000,1,100,0
5064,1,100,0
5129,1,100,0
5192,1,100,0
5255,1,100,0
5326,1,100,0
5392,1,100,0
5454,1,100,0
5509,1,100,0
5579,1,100,0
5641,1,100,0
5703,1,100,0
5767,1,100,0
5830,1,100,0
5891,1,100,0
5955,1,100,0
6019,1,100,0
6082,1,100,0
6148,1,100,0
6216,1,100,0
6274,1,100,0
6340,1,100,0
6402,1,100,0
6465,1,100,0
6529,1,100,0
6593,1,100,0
6656,1,100,0
6720,1,100,0
6783,1,100,0
6845,1,100,0
6910,1,100,0
6973,1,100,0
7039,1,100,0
7102,1,100,0
7166,1,100,0
7228,1,100,0
7291,1,100,0
7356,1,100,0
7418,1,100,0
7482,1,100,0
7546,1,100,0
7610,1,100,0
7674,1,100,0
7753,1,100,0
7816,1,100,0
7880,1,100,0
7944,1,100,0
8006,1,100,0
8070,1,100,0
8133,1,100,0
8196,1,100,0
8261,1,100,0
8323,1,100,0
8388,1,100,0
8450,1,100,0
8515,1,100,0
8579,1,100,0
8642,1,100,0
8706,1,100,0
8769,1,100,0
8833,1,100,0
8896,1,100,0
8960,1,100,0
9023,1,100,0
9085,1,100,0
9149,1,100,0
9213,1,100,0
9277,1,100,0
9340,1,100,0
9405,1,100,0
9467,1,100,0
9531,1,100,0
9596,1,100,0
9659,1,100,0
9724,1,100,0
9789,1,100,0
9852,1,100,0
9917,1,100,0
9979,1,100,0
10042,1,100,0
10108,1,100,0
10173,1,100,0
10236,1,100,0
10297,1,100,0
10362,1,100,0
10427,1,100,0
10488,1,100,0
10549,1,100,0
10613,1,100,0
10679,1,100,0
10740,1,100,0
10804,1,100,0
10867,1,100,0
10930,1,100,0
10993,1,100,0
11056,1,100,0
11121,1,100,0
11184,1,100,0
11250,1,100,0
11312,1,100,0
11375,1,100,0
11441,1,100,0
11504,1,100,0
11566,1,100,0
11630,1,100,0
11695,1,100,0
11758,1,100,0
11822,1,100,0
11883,1,100,0
11948,1,100,0
12012,1,100,0
12074,1,100,0
12139,1,100,0
12202,1,100,0
12265,1,100,0
12339,1,100,0
12407,1,100,0
12471,1,100,0
12534,1,100,0
12598,1,100,0
12661,1,100,0
12724,1,100,0
12793,1,100,0
12859,1,100,0
12918,1,100,0
12979,1,100,0
13052,1,100,0
13118,1,100,0
13189,1,100,0
13249,1,100,0
13312,1,100,0
13376,1,100,0
13439,1,100,0
13506,1,100,0
13565,1,100,0
13644,1,100,0
13714,1,100,0
13777,1,100,0
13857,1,100,0
13916,1,100,0
13982,1,100,0
14046,1,100,0
14117,1,100,0
14180,1,100,0
14245,1,100,0
14306,1,100,0
14393,1,100,0
14459,1,100,0
14608,1,100,0
14691,1,100,0
14767,1,100,0
14844,1,100,0
14924,1,100,0
14991,1,100,0
15062,1,100,0
15133,1,100,0
15198,1,100,0
15263,1,100,0
15333,1,100,0
15416,1,100,0
15487,1,100,0
15566,1,100,0
15666,1,100,0
15767,1,100,0
15839,1,100,0
15928,1,100,0
15990,1,100,0
16051,1,100,0
16111,1,100,0
16181,1,100,0
16243,1,100,0
16314,1,100,0
16391,1,100,0
16469,1,100,0
16545,1,100,0
16616,1,100,0
16684,1,100,0
16747,1,100,0
16824,1,100,0
16912,1,100,0
16983,1,100,0
17047,1,100,0
17108,1,100,0
17166,1,100,0
17228,1,100,0
17291,1,100,0
17359,1,100,0
17423,1,100,0
17484,1,100,0
17563,1,100,0
17633,1,100,0
17718,1,100,0
17806,1,100,0
17878,1,100,0
17974,1,100,0
18042,1,100,0
18100,1,100,0
18164,1,100,0
18228,1,100,0
18292,1,100,0
18368,1,100,0
18434,1,100,0
18496,1,100,0
