Timestamp,number_of_viruses,number_of_cells,number_of_dead_cells
19945,3,100,0
20009,3,100,0
20073,3,100,0
20136,3,100,0
20200,3,100,0
20263,3,100,0
20327,3,100,0
20390,3,100,0
20454,3,100,0
20517,3,100,0
20581,3,100,0
20644,3,100,0
20707,3,100,0
20771,3,100,0
20835,3,100,0
20898,3,100,0
20961,3,100,0
21025,3,100,0
21086,3,100,0
21150,3,100,0
21213,3,100,0
21276,3,100,0
21339,3,100,0
21403,3,100,0
21466,3,100,0
21530,3,100,0
21594,3,100,0
21657,3,100,0
21721,3,100,0
21785,3,100,0
21848,3,100,0
21912,3,100,0
21976,3,100,0
22039,3,100,0
22103,3,100,0
22166,3,100,0
22234,5,100,0
22295,5,100,0
22357,5,100,0
22422,5,100,0
22485,5,100,0
22548,5,100,0
22612,5,100,0
22676,5,100,0
22739,5,100,0
22803,5,100,0
22867,5,100,0
22932,5,100,0
22995,5,100,0
23058,5,100,0
23120,5,100,0
23207,5,100,0
23267,5,100,0
23332,5,100,0
23390,5,100,0
23452,5,100,0
23515,5,100,0
23580,5,100,0
23647,5,100,0
23706,5,100,0
23769,5,100,0
23833,5,100,0
23895,5,100,0
23959,5,100,0
24023,5,100,0
24086,5,100,0
24149,5,100,0
24213,5,100,0
24277,5,100,0
24340,5,100,0
24404,5,100,0
24468,5,100,0
24532,5,100,0
24595,5,100,0
24659,5,100,0
24722,5,100,0
24784,5,100,0
24846,5,100,0
24910,5,100,0
24975,5,100,0
25037,5,100,0
25101,5,100,0
25164,5,100,0
25228,5,100,0
25292,5,100,0
25356,5,100,0
25419,5,100,0
25482,5,100,0
25546,5,100,0
25610,5,100,0
25673,5,100,0
25738,5,100,0
25801,5,100,0
25863,5,100,0
25927,5,100,0
25991,5,100,0
26054,5,100,0
26118,5,100,0
26182,5,100,0
26246,5,100,0
26310,5,100,0
26373,5,100,0
26437,5,100,0
26501,5,100,0
26564,5,100,0
26630,5,100,0
26693,5,100,0
26756,5,100,0
26819,5,100,0
26883,5,100,0
26946,5,100,0
27010,5,100,0
27075,5,100,0
27137,5,100,0
27200,4,100,0
27265,5,100,0
27328,5,100,0
27392,5,99,1
27456,5,99,1
27518,5,99,1
27582,5,99,1
27644,5,99,1
27707,5,99,1
27770,5,99,1
27833,5,99,1
27896,5,99,1
27960,5,99,1
28024,5,99,1
28086,5,99,1
28150,5,99,1
28214,5,99,1
28277,5,99,1
28341,5,99,1
28405,5,99,1
28468,5,99,1
28531,5,99,1
28595,5,99,1
28658,5,99,1
28722,5,99,1
28787,5,99,1
28851,5,99,1
28915,5,99,1
28978,5,99,1
29042,4,99,1
29150,4,99,1
29216,4,99,1
29279,4,99,1
29343,4,99,1
29406,4,99,1
29470,4,99,1
29533,4,99,1
29598,4,99,1
29662,4,99,1
29724,4,99,1
29786,4,99,1
29850,4,99,1
29914,4,99,1
29977,4,99,1
30041,4,99,1
30105,4,99,1
30169,4,99,1
30248,4,99,1
30312,4,99,1
30376,4,99,1
30439,4,99,1
30502,4,99,1
30566,4,99,1
30630,4,99,1
30693,4,99,1
30757,4,99,1
30821,4,99,1
30884,4,99,1
30948,4,99,1
31014,4,99,1
31073,4,99,1
31137,4,99,1
31200,4,99,1
31266,4,99,1
31324,4,99,1
31387,4,99,1
31451,4,99,1
31514,4,99,1
31577,4,99,1
31641,4,99,1
31705,4,99,1
31767,4,99,1
31831,4,99,1
31895,4,99,1
31958,4,99,1
32022,4,99,1
32086,4,99,1
32149,4,99,1
32213,4,99,1
32277,5,99,1
32339,5,99,1
32401,5,99,1
32466,4,98,2
32529,4,98,2
32592,3,98,2
32656,3,98,2
32720,3,98,2
32785,3,98,2
32846,3,98,2
32910,3,98,2
32973,3,98,2
33037,3,98,2
33104,3,98,2
33167,3,98,2
33228,3,98,2
33290,3,98,2
33354,3,98,2
33418,3,98,2
33482,3,98,2
33545,3,98,2
33609,3,98,2
33672,3,98,2
33735,3,98,2
33799,3,98,2
33862,3,98,2
33926,3,98,2
33989,3,98,2
34052,3,98,2
34116,3,98,2
34180,3,98,2
34244,3,98,2
34309,3,98,2
34372,3,98,2
34436,3,98,2
34499,3,98,2
34562,3,98,2
34626,3,98,2
34690,3,98,2
34753,3,98,2
34816,3,98,2
34880,3,98,2
34943,3,98,2
35007,3,98,2
35071,3,98,2
35135,3,98,2
35198,3,98,2
35262,3,98,2
35329,3,98,2
35388,3,98,2
35452,3,98,2
35516,3,98,2
35579,3,98,2
35645,3,98,2
35706,3,98,2
35770,3,98,2
35833,3,98,2
35896,3,98,2
35961,3,98,2
36025,3,98,2
36087,3,98,2
36151,3,98,2
36215,3,98,2
36278,3,98,2
36342,3,98,2
36406,3,98,2
36486,3,98,2
36549,3,98,2
36613,3,98,2
36676,3,98,2
36740,3,98,2
36804,3,98,2
36868,3,98,2
36932,3,98,2
36995,3,98,2
37059,3,98,2
37124,3,98,2
37224,3,98,2
37285,3,98,2
37341,4,98,2
37404,4,98,2
37469,4,98,2
37532,5,98,2
37595,5,98,2
37661,5,97,3
37722,4,97,3
37785,4,97,3
37848,4,97,3
37912,4,97,3
37976,4,97,3
38040,4,97,3
38103,4,97,3
38167,4,97,3
38231,4,97,3
38294,4,97,3
38359,4,97,3
38423,4,97,3
38486,4,97,3
38550,4,97,3
38614,4,97,3
38678,4,97,3
38739,4,97,3
38805,4,97,3
38867,4,97,3
38930,4,97,3
38993,4,97,3
39056,4,97,3
39120,4,97,3
39185,4,97,3
39246,4,97,3
39310,4,97,3
39372,4,97,3
39435,4,97,3
39499,4,97,3
39567,4,97,3
39626,4,97,3
39691,4,97,3
39751,4,97,3
39815,4,97,3
39879,4,97,3
39942,4,97,3
40006,4,97,3
40069,4,97,3
40133,4,97,3
40197,4,97,3
40260,4,97,3
40322,4,97,3
40386,4,97,3
40451,4,97,3
40514,4,97,3
40577,4,97,3
40641,4,97,3
40704,4,97,3
40768,4,97,3
40832,4,97,3
40895,4,97,3
40960,4,97,3
41024,4,97,3
41087,4,97,3
41153,4,97,3
41215,4,97,3
41279,4,97,3
41342,4,97,3
41405,4,97,3
41468,4,97,3
41532,4,97,3
41596,4,97,3
41659,4,97,3
41723,4,97,3
41787,3,97,3
41851,3,97,3
41914,3,97,3
41977,3,97,3
42041,3,97,3
42105,3,97,3
42168,3,97,3
42232,3,97,3
42296,3,97,3
42360,3,97,3
42424,3,97,3
42488,3,97,3
42552,4,97,3
42615,4,97,3
42679,4,96,4
42743,3,96,4
42804,4,96,4
42868,4,96,4
42932,4,96,4
42996,4,96,4
43059,4,96,4
43122,4,96,4
43254,4,96,4
43326,4,96,4
43378,4,96,4
43440,4,96,4
43504,4,96,4
43568,4,96,4
43631,4,96,4
43694,4,96,4
43758,4,96,4
43822,4,96,4
43885,4,96,4
43949,4,96,4
44012,4,96,4
44075,4,96,4
44138,4,96,4
44201,4,96,4
44265,4,96,4
44329,4,96,4
44393,4,96,4
44457,4,96,4
44521,4,96,4
44584,4,96,4
44648,4,96,4
44712,4,96,4
44777,4,96,4
44838,4,96,4
44902,4,96,4
44966,4,96,4
45027,4,96,4
45090,4,96,4
45154,4,96,4
45217,4,96,4
45280,4,96,4
45344,4,96,4
45407,4,96,4
45470,4,96,4
45534,4,96,4
45598,3,96,4
45660,3,96,4
45724,3,96,4
45790,3,96,4
45850,3,96,4
45914,3,96,4
45978,3,96,4
46042,3,96,4
46106,3,96,4
46171,3,96,4
46233,3,96,4
46298,3,96,4
46360,3,96,4
46424,3,96,4
46488,3,96,4
46551,3,96,4
46615,3,96,4
46679,3,96,4
46743,3,96,4
46806,3,96,4
46870,3,96,4
46933,3,96,4
46996,3,96,4
47060,3,96,4
47124,3,96,4
47186,3,96,4
47250,3,96,4
47314,3,96,4
47378,3,96,4
47442,3,96,4
47505,3,96,4
47615,4,96,4
47680,4,96,4
47745,3,95,5
47808,5,95,5
47871,5,95,5
47935,5,95,5
48000,6,95,5
48060,6,95,5
48124,6,95,5
48188,6,95,5
48251,6,95,5
48315,6,95,5
48379,6,95,5
48443,6,95,5
48508,6,95,5
48570,6,95,5
48635,6,95,5
48698,6,95,5
48762,6,95,5
48826,6,95,5
48889,6,95,5
48953,6,95,5
49016,6,95,5
49079,6,95,5
49144,6,95,5
49206,6,95,5
49270,6,95,5
49333,6,95,5
49394,6,95,5
49459,5,95,5
49522,5,95,5
49586,5,95,5
49648,5,95,5
49712,5,95,5
49776,5,95,5
49840,5,95,5
49903,5,95,5
49967,5,95,5
50031,5,95,5
50094,5,95,5
50157,5,95,5
50220,5,95,5
50283,5,95,5
50348,5,95,5
50412,5,95,5
50475,5,95,5
50539,5,95,5
50603,5,95,5
50667,5,95,5
50731,5,95,5
50794,5,95,5
50857,5,95,5
50922,5,95,5
50984,5,95,5
51049,5,95,5
51112,5,95,5
51175,5,95,5
51239,5,95,5
51303,5,95,5
51365,5,95,5
51428,5,95,5
51493,5,95,5
51555,5,95,5
51618,5,95,5
51683,5,95,5
51747,5,95,5
51809,5,95,5
51873,5,95,5
51936,5,95,5
52000,5,95,5
52063,5,95,5
52127,5,95,5
52191,5,95,5
52253,5,95,5
52317,5,95,5
52381,5,95,5
52443,5,95,5
52507,5,95,5
52570,5,95,5
52634,5,95,5
52697,6,95,5
52760,6,95,5
52824,7,95,5
52887,7,95,5
52951,7,95,5
53016,8,95,5
53076,9,95,5
53140,9,95,5
53203,9,95,5
53270,10,95,5
53369,10,95,5
53440,10,95,5
53507,10,95,5
53570,10,95,5
53635,10,95,5
53698,10,95,5
53761,10,95,5
53824,10,95,5
53888,10,95,5
53953,10,95,5
54015,10,95,5
54077,10,95,5
54141,10,95,5
54205,10,95,5
54268,10,95,5
54332,10,95,5
54396,10,95,5
54458,10,95,5
54522,10,95,5
54585,10,95,5
54649,10,95,5
54712,10,95,5
54776,10,95,5
54840,10,95,5
54903,10,95,5
54967,10,95,5
55031,10,95,5
55093,10,95,5
55157,10,95,5
55220,10,95,5
55284,10,95,5
55347,10,95,5
55410,10,95,5
55472,10,95,5
55537,10,95,5
55600,10,95,5
55663,10,95,5
55727,10,95,5
55789,10,95,5
55853,10,95,5
55917,10,95,5
55980,10,95,5
56044,10,95,5
56108,10,95,5
56171,10,95,5
56235,10,95,5
56298,10,95,5
56362,10,95,5
56425,10,95,5
56488,10,95,5
56552,10,95,5
56615,10,95,5
56677,10,95,5
56740,10,95,5
56804,10,95,5
56867,10,95,5
56932,9,95,5
56995,9,95,5
57060,9,95,5
57123,9,95,5
57185,9,95,5
57248,9,95,5
57312,9,95,5
57374,9,95,5
57438,9,95,5
57502,9,95,5
57564,9,95,5
57627,9,95,5
57691,9,95,5
57753,9,95,5
57817,9,95,5
57881,9,95,5
57944,9,95,5
58007,9,95,5
58072,11,95,5
58135,11,95,5
58199,11,95,5
58263,11,95,5
58327,11,95,5
58390,11,95,5
58454,11,95,5
58517,11,95,5
58583,11,95,5
58642,11,95,5
58706,11,95,5
58770,11,95,5
58834,11,95,5
58897,11,95,5
58961,11,95,5
59024,11,95,5
59087,11,95,5
59152,11,95,5
59215,11,95,5
59278,11,95,5
59343,11,95,5
59405,11,95,5
59470,11,95,5
59532,11,95,5
59595,11,95,5
59660,11,95,5
59743,11,95,5
59800,11,95,5
59864,11,95,5
59929,10,95,5
59991,10,95,5
60053,10,95,5
60116,10,95,5
60179,10,95,5
60243,10,95,5
60307,10,95,5
60370,10,95,5
60434,10,95,5
60498,10,95,5
60562,10,95,5
60626,10,95,5
60689,10,95,5
60753,10,95,5
60816,10,95,5
60879,10,95,5
60943,10,95,5
61007,10,95,5
61070,10,95,5
61134,10,95,5
61198,10,95,5
61262,10,95,5
61324,10,95,5
61388,10,95,5
61454,10,95,5
61517,10,95,5
61581,10,95,5
61644,10,95,5
61706,10,95,5
61770,10,95,5
61833,10,95,5
61897,10,95,5
61960,10,95,5
62024,10,95,5
62088,10,95,5
62152,10,95,5
62215,10,95,5
62278,10,95,5
62342,10,95,5
62405,10,95,5
62469,10,95,5
62533,10,95,5
62596,10,95,5
62660,10,95,5
62724,10,95,5
62787,10,95,5
62851,10,95,5
62915,10,95,5
62977,10,95,5
63042,10,95,5
63106,10,95,5
63169,10,95,5
63234,9,94,6
63297,8,93,7
63359,8,93,7
63422,8,93,7
63486,7,92,8
63549,7,92,8
63616,7,92,8
63676,7,92,8
63739,7,92,8
63802,7,92,8
63864,7,92,8
63928,7,92,8
63991,7,92,8
64054,7,92,8
64118,7,92,8
64182,7,92,8
64246,7,92,8
64310,7,92,8
64373,7,92,8
64439,7,92,8
64502,7,92,8
64565,7,92,8
64629,7,92,8
64693,7,92,8
64756,7,92,8
64820,7,92,8
64884,7,92,8
64948,7,92,8
65011,7,92,8
65075,7,92,8
65139,7,92,8
65202,7,92,8
65265,7,92,8
65328,7,92,8
65391,7,92,8
65454,7,92,8
65517,7,92,8
65580,7,92,8
65644,7,92,8
65707,7,92,8
65771,7,92,8
65835,7,92,8
65899,7,92,8
65962,7,92,8
66026,7,92,8
66093,7,92,8
66155,7,92,8
66218,7,92,8
66279,7,92,8
66343,7,92,8
66407,7,92,8
66470,7,92,8
66534,7,92,8
66598,7,92,8
66661,7,92,8
66725,7,92,8
66789,7,92,8
66853,7,92,8
66915,7,92,8
66979,7,92,8
67042,7,92,8
67106,7,92,8
67169,7,92,8
67234,7,92,8
67297,7,92,8
67360,7,92,8
67425,7,92,8
67487,7,92,8
67551,7,92,8
67612,7,92,8
67676,8,92,8
67741,8,92,8
67802,8,92,8
67866,8,92,8
67928,8,92,8
67991,8,92,8
68055,8,92,8
68120,7,91,9
68182,7,91,9
68245,7,90,10
68309,6,90,10
68373,6,90,10
68437,6,90,10
68500,4,88,12
68563,4,88,12
68626,4,88,12
68689,4,88,12
68754,4,88,12
68816,4,88,12
68879,4,88,12
68943,4,88,12
69006,4,88,12
69070,4,88,12
69133,4,88,12
69201,4,88,12
69260,4,88,12
69323,4,88,12
69386,4,88,12
69449,4,88,12
69539,4,88,12
69593,4,88,12
69657,4,88,12
69719,4,88,12
69783,4,88,12
69845,4,88,12
69909,4,88,12
69971,4,88,12
70035,4,88,12
70099,4,88,12
70161,4,88,12
70225,4,88,12
70289,4,88,12
70353,4,88,12
70416,4,88,12
70480,4,88,12
70543,4,88,12
70607,4,88,12
70671,4,88,12
70733,4,88,12
70798,4,88,12
70859,4,88,12
70923,4,88,12
70986,4,88,12
71050,4,88,12
71112,4,88,12
71176,4,88,12
71240,4,88,12
71304,4,88,12
71368,4,88,12
71431,4,88,12
71493,4,88,12
71557,4,88,12
71620,4,88,12
71683,4,88,12
71748,4,88,12
71811,4,88,12
71875,4,88,12
71938,4,88,12
72001,4,88,12
72068,4,88,12
72129,4,88,12
72192,4,88,12
72255,4,88,12
72319,4,88,12
72382,4,88,12
72446,4,88,12
72510,4,88,12
72573,4,88,12
72637,4,88,12
72702,5,88,12
72764,5,88,12
72828,5,88,12
